,,,,,,,,
"CUADRO No .-1
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR USO, SEGÚN PROVINCIAS",,,,,,,,ÍNDICE>>
,,,,,,,,
PROVINCIA,TOTAL,USO DEL VEHÍCULO,,,,,,
,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
TOTAL,"1,925,368","1,778,722","112,234","29,428","4,183",649,152,
AZUAY,"124,069"," 114,587 "," 7,908 "," 1,179 ", 348 , 46 , 1 ,
BOLIVAR,"18,666"," 16,369 "," 1,737 ", 517 , 28 , 14 , 1 ,
CAÑAR,"34,968"," 32,159 "," 2,480 ", 221 , 93 , 14 , 1 ,
CARCHI,"21,088"," 18,567 "," 1,999 ", 436 , 84 , 2 , -   ,
COTOPAXI,"54,356"," 49,994 "," 3,517 ", 736 , 105 , 4 , -   ,
CHIMBORAZO,"59,638"," 53,859 "," 4,348 "," 1,183 ", 200 , 46 , 2 ,
EL ORO,"89,556"," 82,569 "," 6,301 ", 575 , 63 , 44 , 4 ,
ESMERALDAS,"44,379"," 41,373 "," 2,625 ", 322 , 19 , 39 , 1 ,
GUAYAS,"362,857"," 342,146 "," 15,800 "," 4,775 ", -   , 27 , 109 ,
IMBABURA,"50,246"," 46,183 "," 2,982 ", 857 , 220 , 4 , -   ,
LOJA,"63,407"," 56,660 "," 5,813 ", 701 , 166 , 66 , 1 ,
LOS RIOS,"111,259"," 107,288 "," 3,364 ", 526 , 47 , 16 , 18 ,
MANABI,"152,231"," 141,708 "," 9,306 "," 1,037 ", 107 , 66 , 7 ,
MORONA SANTIAGO,"11,305"," 9,610 "," 1,153 ", 399 , 106 , 37 , -   ,
NAPO,"7,558"," 6,314 ", 891 , 271 , 57 , 24 , 1 ,
PASTAZA,"9,814"," 8,110 "," 1,026 ", 556 , 66 , 55 , 1 ,
PICHINCHA,"492,568"," 455,509 "," 23,215 "," 12,043 "," 1,778 ", 19 , 4 ,
TUNGURAHUA,"87,752"," 78,270 "," 8,331 ", 799 , 327 , 24 , 1 ,
ZAMORA CHINCHIPE,"6,593"," 5,422 ", 801 , 308 , 53 , 9 , -   ,
GALAPAGOS,"1,541"," 1,302 ", 192 , 47 , -   , -   , -   ,
SUCUMBIOS,"22,021"," 20,333 "," 1,206 ", 286 , 140 , 56 , -   ,
ORELLANA,"15,329"," 13,736 "," 1,298 ", 242 , 31 , 22 , -   ,
SANTO DOMINGO DE LOS TSACHILAS,"61,886"," 56,637 "," 4,015 "," 1,074 ", 145 , 15 , -   ,
SANTA ELENA,"22,281"," 20,017 "," 1,926 ", 338 , -   , -   , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
