,,,,,,,,,,
"CUADRO No.-33
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE PASAJEROS
ENTRADOS Y SALIDOS POR EL AEROPUERTO MARISCAL SUCRE",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
PASAJEROS,,,,,,,,,,
E N T R A D O S,,,,S A L I D O S,,,,,,
       R  U  T  A,,,%,        R  U  T  A,,,%,,,
BOGOTÁ, - , QUITO ,19.5%, QUITO , - ,BOGOTÁ,19.6%,,,
PANAMÁ, - , QUITO ,14.9%, QUITO , - ,PANAMÁ,15.0%,,,
MIAMI, - , QUITO ,12.6%, QUITO , - ,MIAMI,13.3%,,,
LIMA, - , QUITO ,10.7%, QUITO , - ,LIMA,10.8%,,,
MADRID, - , QUITO ,7.1%, QUITO , - ,MADRID,6.4%,,,
ÁMSTERDAM, - , QUITO ,5.3%, QUITO , - ,ATLANTA,5.2%,,,
ATLANTA, - , QUITO ,4.8%, QUITO , - ,ÁMSTERDAM,4.3%,,,
NEW YORK, - , QUITO ,4.6%, QUITO , - ,HOUSTON,4.2%,,,
HOUSTON, - , QUITO ,4.0%, QUITO , - ,NEW YORK,4.1%,,,
MÉXICO, - , QUITO ,3.3%, QUITO , - ,MÉXICO,3.6%,,,
EL SALVADOR, - , QUITO ,3.0%, QUITO , - ,BUENOS AIRES,3.2%,,,
BUENOS AIRES, - , QUITO ,2.8%, QUITO , - ,EL SALVADOR,2.6%,,,
FORT LAUDERDALE, - , QUITO ,2.4%, QUITO , - ,FORT LAUDERDALE,2.5%,,,
HABANA, - , QUITO ,1.4%, QUITO , - ,SAO PAULO,1.6%,,,
SAO PAULO, - , QUITO ,1.1%, QUITO , - ,HABANA,1.0%,,,
SANTIAGO, - , QUITO ,0.7%, QUITO , - ,CARACAS,0.9%,,,
CARACAS, - , QUITO ,0.6%, QUITO , - ,SANTIAGO,0.8%,,,
MEDELLÍN, - , QUITO ,0.5%, QUITO , - ,MEDELLÍN,0.5%,,,
CALI, - , QUITO ,0.4%, QUITO , - ,CALI,0.2%,,,
DALLAS, - , QUITO ,0.1%, QUITO , - ,DALLAS,0.1%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
