"CUADRO No .-13
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR USO Y TIPO DE COMBUSTIBLE, SEGÚN PROVINCIAS",,,,,,,,,
,,,,,,,,,
,,,,,,,,,ÍNDICE>>
PROVINCIA,TIPO DE COMBUSTIBLE,TOTAL,USO DEL VEHÍCULO,,,,,,
,,,PARTICULAR,ALQUILER,ESTADO,MUNICIPIO,GOBIERNOS SECCIONALES,OTROS ,
,GAS LIQUADO DE PETRÓLEO, 10 , 9 , 1 , -   , -   , -   , -   ,
,NO REGISTRADO, 18 , 17 , -   , -   , -   , -   , 1 ,
,,,,,,,,,
GUAYAS,TOTAL," 362,857 "," 342,146 "," 15,800 "," 4,775 ", -   , 27 , 109 ,
,DIESEL," 45,151 "," 36,031 "," 6,884 "," 2,202 ", -   , 22 , 12 ,
,GASOLINA," 315,898 "," 304,339 "," 8,913 "," 2,571 ", -   , 5 , 70 ,
,HÍBRIDO," 1,733 "," 1,733 ", -   , -   , -   , -   , -   ,
,ELÉCTRICO, 5 , 5 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 10 , 10 , -   , -   , -   , -   , -   ,
,NO REGISTRADO, 60 , 28 , 3 , 2 , -   , -   , 27 ,
,,,,,,,,,
IMBABURA,TOTAL," 50,246 "," 46,183 "," 2,982 ", 857 , 220 , 4 , -   ,
,DIESEL," 5,638 "," 3,755 "," 1,387 ", 377 , 118 , 1 , -   ,
,GASOLINA," 44,464 "," 42,287 "," 1,593 ", 479 , 102 , 3 , -   ,
,HÍBRIDO, 100 , 99 , -   , 1 , -   , -   , -   ,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 20 , 18 , 2 , -   , -   , -   , -   ,
,NO REGISTRADO, 23 , 23 , -   , -   , -   , -   , -   ,
,,,,,,,,,
LOJA,TOTAL," 63,407 "," 56,660 "," 5,813 ", 701 , 166 , 66 , 1 ,
,DIESEL," 8,607 "," 5,914 "," 2,268 ", 263 , 106 , 56 , -   ,
,GASOLINA," 54,624 "," 50,575 "," 3,542 ", 437 , 60 , 10 , -   ,
,HÍBRIDO, 140 , 139 , -   , 1 , -   , -   , -   ,
,ELÉCTRICO, 4 , 3 , 1 , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 12 , 10 , 2 , -   , -   , -   , -   ,
,NO REGISTRADO, 20 , 19 , -   , -   , -   , -   , 1 ,
,,,,,,,,,
LOS RIOS,TOTAL," 111,259 "," 107,288 "," 3,364 ", 526 , 47 , 16 , 18 ,
,DIESEL," 9,689 "," 7,829 "," 1,610 ", 218 , 26 , 6 , -   ,
,GASOLINA," 101,443 "," 99,336 "," 1,752 ", 308 , 21 , 10 , 16 ,
,HÍBRIDO, 51 , 51 , -   , -   , -   , -   , -   ,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,
,GAS LIQUADO DE PETRÓLEO, 23 , 21 , 2 , -   , -   , -   , -   ,
,NO REGISTRADO, 52 , 50 , -   , -   , -   , -   , 2 ,
,,,,,,,,,
MANABI,TOTAL," 152,231 "," 141,708 "," 9,306 "," 1,037 ", 107 , 66 , 7 ,
,DIESEL," 14,329 "," 9,784 "," 3,934 ", 479 , 74 , 58 , -   ,
,GASOLINA," 137,756 "," 131,783 "," 5,371 ", 558 , 33 , 8 , 3 ,
,HÍBRIDO, 88 , 88 , -   , -   , -   , -   , -   ,
,ELÉCTRICO, 1 , 1 , -   , -   , -   , -   , -   ,
