,,,,,,,,,,
"CUADRO No.-34
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE PASAJEROS
ENTRADOS Y SALIDOS POR EL AEROPUERTO JOSÉ JOAQUÍN OLMEDO",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
PASAJEROS,,,,,,,,,,
E N T R A D O S,,,,S A L I D O S,,,,,,
       R  U  T  A,,,%,        R  U  T  A,,,%,,,
PANAMÁ, - , GUAYAQUIL ,23.6%, GUAYAQUIL , - ,PANAMÁ,21.3%,,,
MIAMI, - , GUAYAQUIL ,16.6%, GUAYAQUIL , - ,MIAMI,16.9%,,,
BOGOTÁ, - , GUAYAQUIL ,13.8%, GUAYAQUIL , - ,BOGOTÁ,12.6%,,,
LIMA, - , GUAYAQUIL ,10.6%, GUAYAQUIL , - ,NEW YORK,11.0%,,,
NEW YORK, - , GUAYAQUIL ,9.4%, GUAYAQUIL , - ,LIMA,9.7%,,,
MADRID, - , GUAYAQUIL ,6.8%, GUAYAQUIL , - ,MADRID,7.2%,,,
ÁMSTERDAM, - , GUAYAQUIL ,5.7%, GUAYAQUIL , - ,ÁMSTERDAM,6.8%,,,
EL SALVADOR, - , GUAYAQUIL ,4.2%, GUAYAQUIL , - ,SANTIAGO,5.8%,,,
SANTIAGO, - , GUAYAQUIL ,4.1%, GUAYAQUIL , - ,EL SALVADOR,3.8%,,,
CALI, - , GUAYAQUIL ,2.2%, GUAYAQUIL , - ,CALI,2.1%,,,
FORT LAUDERDALE, - , GUAYAQUIL ,1.7%, GUAYAQUIL , - ,FORT LAUDERDALE,1.7%,,,
BUENOS AIRES, - , GUAYAQUIL ,1.0%, GUAYAQUIL , - ,BUENOS AIRES,0.7%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
