,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
TEKNO," 3,974 ", -   , -   , -   , -   , -   , -   , -   ," 3,974 ", -   , -   , -   , -   ,
BMW," 3,830 "," 2,430 ", -   , -   , -   , -   , -   , 782 , 618 , -   , -   , -   , -   ,
UM," 3,514 ", -   , -   , -   , -   , -   , -   , -   ," 3,514 ", -   , -   , -   , -   ,
AXXO," 3,447 ", -   , -   , -   , -   , -   , -   , -   ," 3,447 ", -   , -   , -   , -   ,
JIALING," 3,302 ", -   , -   , -   , -   , -   , -   , -   ," 3,302 ", -   , -   , -   , -   ,
MACK," 2,844 ", -   , -   , 165 , -   , -   , -   , -   , -   , 62 , 836 ," 1,125 ", 656 ,
INTERNATIONAL," 2,839 ", -   , 151 , 490 , 130 , -   , -   , -   , -   , 139 ," 1,146 ", 480 , 303 ,
FORMOSA," 2,799 ", -   , -   , -   , -   , -   , -   , -   ," 2,799 ", -   , -   , -   , -   ,
ISUZU," 2,796 ", 121 , 153 , 847 ," 1,248 ", 57 , 35 , 241 , -   , 36 , 6 , 34 , 18 ,
SANYA," 2,727 ", -   , -   , -   , -   , -   , -   , -   ," 2,727 ", -   , -   , -   , -   ,
BULTACO," 2,597 ", -   , -   , -   , -   , -   , -   , -   ," 2,597 ", -   , -   , -   , -   ,
CITROEN," 2,455 "," 1,924 ", -   , -   , -   , 510 , 6 , -   , -   , -   , -   , -   , 15 ,
LINGKEN," 2,351 ", -   , -   , -   , -   , -   , -   , -   ," 2,351 ", -   , -   , -   , -   ,
Z1," 2,233 ", -   , -   , -   , -   , -   , -   , -   ," 2,233 ", -   , -   , -   , -   ,
KEEWAY," 2,132 ", -   , -   , -   , -   , -   , -   , -   ," 2,132 ", -   , -   , -   , -   ,
KENWORTH," 2,030 ", -   , -   , 24 , -   , -   , -   , -   , -   , 25 ," 1,724 ", 56 , 201 ,
LIFAN," 1,935 ", 429 , -   , -   , 26 , 155 , 2 , 69 ," 1,254 ", -   , -   , -   , -   ,
SKYGO," 1,726 ", -   , -   , -   , -   , -   , -   , -   ," 1,726 ", -   , -   , -   , -   ,
GALARDI," 1,650 ", -   , -   , -   , -   , -   , -   , -   ," 1,650 ", -   , -   , -   , -   ,
KAWASAKI," 1,620 ", -   , -   , -   , -   , -   , -   , -   ," 1,620 ", -   , -   , -   , -   ,
JIANSHE," 1,542 ", -   , -   , -   , -   , -   , -   , -   ," 1,542 ", -   , -   , -   , -   ,
FREIGHTLINER," 1,504 ", -   , 3 , 82 , -   , -   , -   , -   , -   , 64 ," 1,056 ", 163 , 136 ,
VOLVO," 1,478 ", 975 , 17 , 52 , 14 , -   , 71 , 50 , -   , 6 , 130 , 133 , 30 ,
LAMBORBINI," 1,476 ", -   , -   , -   , -   , -   , -   , -   ," 1,476 ", -   , -   , -   , -   ,
AUDI," 1,325 ", 778 , -   , -   , -   , -   , -   , 547 , -   , -   , -   , -   , -   ,
LAND ROVER," 1,311 ", -   , -   , -   , -   , -   , -   ," 1,311 ", -   , -   , -   , -   , -   ,
CHANGHE," 1,286 ", 103 , 2 , 36 , 337 , 789 , 19 , -   , -   , -   , -   , -   , -   ,
DODGE," 1,192 ", 108 , -   , 74 , 418 , 100 , 38 , 424 , -   , 2 , -   , 13 , 15 ,
DONGFENG," 1,090 ", 18 , 67 , 441 , 226 , 163 , 16 , 9 , 4 , 8 , 30 , 88 , 20 ,
ZOTYE," 1,141 ", -   , -   , -   , -   , -   , -   ," 1,141 ", -   , -   , -   , -   , -   ,
DAYUN," 1,135 ", -   , -   , 2 , -   , -   , -   , -   ," 1,127 ", -   , 4 , -   , 2 ,
GMC," 1,077 ", 1 , -   , 86 , 510 , 64 , 46 , 306 , -   , 8 , 14 , 29 , 13 ,
KTM," 1,023 ", -   , -   , -   , -   , -   , -   , -   ," 1,023 ", -   , -   , -   , -   ,
NIMBUS, 954 , -   , -   , -   , -   , -   , -   , -   , 954 , -   , -   , -   , -   ,
DFSK, 926 , -   , -   , -   , 2 , 922 , -   , 1 , -   , -   , -   , -   , 1 ,
VYCAST, 874 , -   , -   , -   , -   , -   , -   , -   , 874 , -   , -   , -   , -   ,
KINGDOM, 818 , -   , -   , -   , -   , -   , -   , -   , 818 , -   , -   , -   , -   ,
