,,,,,,,,
"             CUADRO No.-45
   TRANSPORTE MARÍTIMO INTERNACIONAL
NÚMERO DE NAVES ENTRADAS Y SALIDAS, POR TONELAJE NETO DE REGISTRO, TONELAJE BRUTO DE REGISTRO Y 
CARGA , SEGÚN BANDERAS",,,,,,,,
,,,,,,,,ÍNDICE>>
BANDERAS,,,,BANDERAS,,,,
,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",,"TONELAJE
NETO DE
REGISTRO","TONELAJE
BRUTO DE
REGISTRO","CARGA
EN
TONELADAS",
NORUEGA," 333,646 "," 1,050,378 "," 566,919 ",NORUEGA," 333,646 "," 1,050,378 ", -   ,
PANAMÁ," 3,512,622 "," 11,292,173 "," 1,716,016 ",PANAMÁ," 3,512,622 "," 11,292,173 "," 2,145,314 ",
PERÚ," 1,686 "," 7,601 "," 1,175 ",PERÚ," 1,686 "," 7,601 ", -   ,
PORTUGAL," 73,506 "," 666,549 "," 116,964 ",PORTUGAL," 73,506 "," 666,549 "," 259,917 ",
QATAR," 97,988 "," 279,488 "," 166,948 ",QATAR," 97,988 "," 279,488 ", -   ,
REINO UNIDO," 408,110 "," 740,543 "," 135,263 ",REINO UNIDO," 408,110 "," 740,543 "," 700,232 ",
RUSIA," 5,272 "," 11,880 ", -   ,RUSIA," 5,272 "," 11,880 ", -   ,
SAN VINCENTE Y LAS GRANADINAS," 68,984 "," 146,458 ", -   ,SAN VINCENTE Y LAS GRANADINAS," 68,984 "," 146,458 "," 70,773 ",
SEYCHELLES," 26,114 "," 54,014 "," 35,128 ",SEYCHELLES," 26,114 "," 54,014 ", -   ,
SINGAPUR," 1,202,928 "," 4,416,879 "," 800,217 ",SINGAPUR," 1,202,928 "," 4,416,879 "," 1,188,926 ",
SUECIA, -   ," 173,742 "," 1,451 ",SUECIA, -   ," 173,742 "," 3,401 ",
SUIZA," 42,377 "," 87,590 "," 9,264 ",SUIZA," 42,377 "," 87,590 "," 1,092 ",
TAILANDIA," 11,230 "," 65,388 "," 11,260 ",TAILANDIA," 11,230 "," 65,388 ", -   ,
TURQUÍA," 37,265 "," 105,764 "," 39,732 ",TURQUÍA," 37,265 "," 105,764 ", -   ,
UCRANIA," 23,559 "," 61,328 ", 670 ,UCRANIA," 23,559 "," 61,328 ", -   ,
VANUATU," 4,485 "," 114,902 "," 7,452 ",VANUATU," 4,485 "," 114,902 "," 13,576 ",
VENEZUELA,5381.98,23377.83,9056,VENEZUELA,5381.98,23377.83,133,
OTROS PAÍSES,159551,349640,20436,OTROS PAÍSES,159551,349640,16899.73,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,
