,,,,,,,,,,
"CUADRO No.-37
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE CARGA
ENTRADA Y SALIDA POR EL AEROPUERTO INTERNACIONAL DE COTOPAXI",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
CARGA,,,,,,,,,,
E N T R A D A,,,,S A L I D A,,,,,,
 R U T A,,,      %,R U T A,,,   %,,,
CURITIBA, - ,LATACUNGA,48.0%,LATACUNGA, - ,MAASTRICHT,76.7%,,,
MANAOS, - ,LATACUNGA,30.5%,LATACUNGA, - ,LUXEMBURGO,23.3%,,,
CAMPINAS, - ,LATACUNGA,16.6%, - , - , - , - ,,,
SANTIAGO, - ,LATACUNGA,4.9%, - , - , - , - ,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
