,,,,,,,,,,,,,,
"CUADRO No.-42
TRANSPORTE MARÍTIMO INTERNACIONAL
NÚMERO DE NAVES ARRIBADAS POR MESES, SEGÚN BANDERAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
BANDERAS,  TOTAL,MESES,,,,,,,,,,,,
,,  ENERO, FEBRERO,  MARZO,  ABRIL,  MAYO,  JUNIO,  JULIO, AGOSTO,SEPTIEMBRE, OCTUBRE,NOVIEMBRE, DICIEMBRE,
TOTAL," 2,731 ", 248 , 211 , 238 , 231 , 202 , 212 , 247 , 234 , 224 , 228 , 223 , 233 ,
ALEMANIA, 22 , 4 , 3 , 1 , 1 , 1 , 3 , 2 , 1 , 1 , 1 , 2 , 2 ,
ANTIGUA Y BARBUDA, 182 , 17 , 21 , 18 , 15 , 15 , 12 , 16 , 13 , 11 , 17 , 11 , 16 ,
ANTILLAS HOLANDESAS, 10 , 1 , 1 , 1 , 1 , 2 , -   , 1 , 1 , 1 , 1 , -   , -   ,
ARABIA SAUDITA, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   ,
BAHAMAS, 171 , 15 , 12 , 21 , 11 , 10 , 15 , 16 , 6 , 16 , 13 , 18 , 18 ,
BAHEMENA, 58 , 7 , 5 , 7 , 7 , 4 , 3 , 6 , 3 , 3 , 5 , 4 , 4 ,
BARBADOS, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,
BÉLICE, 2 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,
BÉLGICA, 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,
BERMUDAS, 5 , -   , -   , 1 , -   , -   , 1 , 1 , 1 , -   , 1 , -   , -   ,
BOLIVIA, 2 , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , -   ,
BRASIL, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,
CANADÁ, 1 , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   ,
CHILE, 12 , -   , 1 , 1 , 2 , 1 , 1 , 2 , 1 , 1 , 1 , -   , 1 ,
CHINA, 52 , 4 , 5 , 7 , 3 , 2 , 5 , 5 , 5 , 2 , 4 , 4 , 6 ,
CHIPRE, 61 , 5 , 4 , 6 , 5 , 6 , 7 , 4 , 6 , 6 , 5 , 5 , 2 ,
COLOMBIA, 94 , 11 , 7 , 6 , 5 , 7 , 7 , 13 , 9 , 6 , 3 , 12 , 8 ,
COREA DEL SUR, 4 , 2 , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   ,
CROACIA, 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   ,
DANESA, 10 , -   , 1 , -   , 1 , 2 , -   , 2 , 1 , 1 , -   , 2 , -   ,
DINAMARCA, 28 , 2 , 2 , 1 , 1 , 1 , 2 , 1 , 1 , 3 , 6 , 5 , 3 ,
ECUADOR, 27 , 3 , 5 , 2 , 5 , 2 , 2 , 1 , 1 , 1 , 2 , 1 , 2 ,
EL SALVADOR, 4 , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , -   , 1 , 1 ,
ESPAÑA, 9 , -   , 1 , -   , -   , -   , -   , 1 , 1 , 1 , 3 , 1 , 1 ,
ESTADOS UNIDOS, 20 , 1 , 3 , 3 , -   , 1 , -   , 2 , 3 , 2 , 1 , 2 , 2 ,
FILIPINAS, 12 , -   , -   , 1 , 1 , -   , 1 , 1 , -   , 4 , 3 , 1 , -   ,
FRANCIA, 2 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,
GIBRALTAR, 8 , -   , -   , 1 , 2 , 1 , -   , 1 , 1 , 2 , -   , -   , -   ,
GRAN BRETAÑA, 42 , 4 , 2 , 4 , 4 , 4 , 5 , 1 , 4 , 5 , 2 , 3 , 4 ,
GRECIA, 32 , 4 , 1 , -   , 3 , 1 , 2 , 5 , 4 , 3 , 4 , 3 , 2 ,
GUATEMALA, 9 , -   , 1 , 1 , 1 , -   , 2 , -   , -   , 2 , -   , 2 , -   ,
HOLANDA, 23 , 3 , 1 , 1 , 6 , 1 , 3 , 1 , -   , -   , 4 , 2 , 1 ,
HONG KONG, 34 , 1 , 2 , 2 , 5 , 4 , 1 , 2 , 5 , 2 , 5 , 2 , 3 ,
ISLA DEL HOMBRE, 9 , 1 , 1 , -   , -   , 1 , 2 , 2 , 2 , -   , -   , -   , -   ,
ISLAS BERMUDAS, 6 , 2 , 1 , 1 , -   , -   , 1 , -   , 1 , -   , -   , -   , -   ,
ISLAS CAIMÁN, 16 , 3 , 2 , 1 , 3 , -   , 3 , 2 , 1 , -   , -   , -   , 1 ,
ISLAS COOK, 4 , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , -   , -   , 2 ,
ISLAS MARSHALL, 279 , 28 , 20 , 18 , 19 , 19 , 20 , 26 , 37 , 28 , 18 , 25 , 21 ,
ITALIA, 13 , 1 , -   , 1 , 3 , 1 , 1 , -   , 2 , 1 , -   , 2 , 1 ,
JAPÓN, 16 , 2 , -   , 1 , 1 , 2 , 2 , 2 , 1 , 2 , -   , 2 , 1 ,
KINGSTON, 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
KIRIBATI, 2 , -   , -   , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   ,
LÍBANO, 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
LIBERIA, 625 , 53 , 44 , 59 , 61 , 53 , 47 , 51 , 48 , 54 , 56 , 47 , 52 ,
MALTA, 61 , 3 , 8 , 4 , 2 , 3 , 9 , 4 , 5 , 6 , 6 , 4 , 7 ,
MÉXICO, 1 , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   ,
MONROVIA, 2 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   ,
NICARAGUA, 14 , 1 , -   , 3 , 2 , 2 , -   , -   , -   , 1 , 3 , 1 , 1 ,
NORUEGA, 41 , 7 , 3 , 6 , 2 , 2 , 3 , 2 , 4 , 1 , 8 , 1 , 2 ,
PANAMÁ, 412 , 37 , 39 , 34 , 40 , 29 , 27 , 45 , 32 , 35 , 29 , 29 , 36 ,
PERÚ, 23 , -   , -   , -   , -   , -   , 1 , 4 , 2 , 3 , 3 , 5 , 5 ,
PORTUGAL, 12 , 1 , 1 , 1 , -   , 1 , 2 , -   , -   , 2 , 1 , 1 , 2 ,
QATAR, 10 , -   , 1 , -   , 2 , 2 , 2 , -   , -   , -   , 1 , -   , 2 ,
REINO UNIDO, 12 , -   , -   , 1 , 1 , 6 , 1 , 1 , 1 , 1 , -   , -   , -   ,
RUSIA, 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SAN VINCENTE Y LAS GRANADINAS, 15 , 3 , 2 , -   , 1 , 1 , 1 , 2 , 1 , -   , 2 , 1 , 1 ,
SEYCHELLES, 3 , -   , -   , -   , -   , 1 , 2 , -   , -   , -   , -   , -   , -   ,
SINGAPUR, 153 , 19 , 6 , 15 , 8 , 9 , 10 , 15 , 16 , 10 , 13 , 13 , 19 ,
SUECIA, 3 , -   , -   , 1 , -   , -   , -   , -   , 1 , -   , -   , 1 , -   ,
SUIZA, 5 , 1 , 1 , -   , -   , 2 , -   , 1 , -   , -   , -   , -   , -   ,
TAILANDIA, 4 , -   , -   , -   , 1 , -   , -   , 1 , -   , 1 , -   , 1 , -   ,
TURQUÍA, 4 , -   , 1 , -   , -   , 2 , -   , -   , 1 , -   , -   , -   , -   ,
UCRANIA, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,
VANUATU, 13 , -   , -   , 1 , 1 , -   , 2 , -   , 2 , 2 , 3 , 2 , -   ,
VENEZUELA, 16 , -   , 1 , 1 , 2 , -   , 1 , 2 , 2 , 2 , 1 , 2 , 2 ,
OTROS PAÍSES, 10 , 1 , 2 , -   , 1 , -   , 2 , 1 , 1 , -   , -   , 1 , 1 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2015,,,,,,,,,,,,,,
