,,,,,,,,,,,,,,,,
"CUADRO No .-6
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS EN EL 2015, POR MARCA, SEGÚN MODELO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,MODELO,,,,,,,,,,,,,,
LONCIN," 8,636 ", 56 , 85 , 106 , 256 , 269 , 298 , 215 , 340 , 807 ," 1,324 "," 1,519 "," 1,787 "," 1,527 ", 47 ,
THUNDER," 8,235 ", -   , -   , -   , -   , 14 , 73 , 92 , 171 , 728 ," 1,544 "," 1,274 "," 2,840 "," 1,409 ", 90 ,
PEUGEOT," 7,909 "," 1,872 ", 639 ," 1,032 "," 1,262 ", 841 , 607 , 590 , 123 , 253 , 223 , 147 , 141 , 179 , -   ,
LADA," 7,646 "," 6,326 ", 367 , 116 , 643 , 194 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
TUKO," 6,628 ", 7 , -   , -   , -   , -   , -   , -   , -   , -   , 207 , 633 ," 3,328 "," 2,380 ", 73 ,
DAYANG," 5,404 ", 15 , 13 , 31 , 85 , 123 , 264 , 176 , 459 , 885 , 227 ," 1,409 ", 572 ," 1,145 ", -   ,
PEGASSO," 5,367 ", 24 , -   , -   , -   , 57 , 939 , 771 , 608 , 349 ," 1,351 ", 176 , 673 , 419 , -   ,
DATSUN," 5,275 "," 5,275 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
CHERY," 5,172 ", 1 , -   , -   , -   , 1 , 154 , 107 , 111 , 359 ," 1,525 "," 1,673 ", 514 , 350 , 377 ,
ICS," 5,044 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 215 , 924 ," 3,905 ", -   ,
OROMOTO," 4,970 ", -   , 14 , 250 , 145 , 494 , 633 , 754 , 33 , 741 , 654 , 467 , 367 , 418 , -   ,
QINGQI," 4,558 ", 15 , 53 , 134 , 144 , 197 , 307 , 150 , 242 , 792 , 630 , 561 , 761 , 572 , -   ,
JAC," 4,090 ", 9 , 29 , 41 , 63 , 18 , 102 , 183 , 148 , 305 , 622 , 721 , 752 , 901 , 196 ,
JEEP," 4,023 "," 2,093 ", 34 , 58 , 76 , 96 , 103 , 50 , 81 , 143 , 179 , 228 , 707 , 175 , -   ,
TEKNO," 3,974 ", -   , -   , 36 , 378 , 456 , 635 , 136 , 567 , 603 , 573 , 176 , 264 , 150 , -   ,
BMW," 3,830 "," 1,446 ", 83 , 124 , 255 , 316 , 210 , 91 , 131 , 174 , 207 , 278 , 247 , 238 , 30 ,
UM," 3,514 ", 1 , -   , -   , -   , -   , -   , -   , 12 , 717 ," 1,039 ", 622 , 900 , 223 , -   ,
AXXO," 3,447 ", 1 , -   , -   , 30 , 107 , 56 , 78 , 219 , 175 , 292 , 199 , 167 ," 1,865 ", 258 ,
JIALING," 3,302 ", 71 , 363 , 314 , 333 , 224 , 229 , 449 , 134 , 527 , 405 , 66 , -   , 187 , -   ,
MACK," 2,844 "," 1,192 ", 51 , 62 , 47 , 95 , 88 , 373 , 56 , 138 , 285 , 287 , 116 , 54 , -   ,
INTERNATIONAL," 2,839 "," 1,446 ", 40 , 47 , 89 , 105 , 92 , 112 , 90 , 83 , 164 , 173 , 207 , 165 , 26 ,
FORMOSA," 2,799 ", -   , -   , -   , -   , -   , -   , 256 , 417 , 553 , 332 , 496 , 639 , 97 , 9 ,
ISUZU," 2,796 "," 2,781 ", 7 , 4 , 2 , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,
SANYA," 2,727 ", 6 , 5 , 31 , 57 , 117 , 157 , 232 , 267 , 591 , 238 , 137 , 539 , 350 , -   ,
BULTACO," 2,597 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 321 , 85 ," 1,423 ", 768 , -   ,
CITROEN," 2,455 ", 278 , 53 , 260 , 214 , 201 , 288 , 51 , 113 , 79 , 156 , 105 , 348 , 160 , 149 ,
LINGKEN," 2,351 ", 40 , 98 , 343 , 220 , 122 , 82 , 213 , 415 , 411 , 169 , 98 , 112 , 21 , 7 ,
Z1," 2,233 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 391 ," 1,842 ", -   ,
KEEWAY," 2,132 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , 211 ," 1,873 ", 47 , 1 , -   ,
KENWORTH," 2,030 ", 473 , 15 , 22 , 44 , 24 , 23 , 115 , 116 , 227 , 156 , 245 , 238 , 257 , 75 ,
LIFAN," 1,935 ", 50 , 33 , 101 , 93 , 22 , 198 , 180 , 173 , 311 , 215 , 228 , -   , 331 , -   ,
SKYGO," 1,726 ", 2 , -   , -   , -   , -   , 255 , 13 , -   , -   , 145 , 401 , 644 , 266 , -   ,
