,,,,,,,,,,,,,,
"CUADRO No .-8
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS POR CLASE, SEGÚN MARCA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
MARCA,TOTAL,CLASE,,,,,,,,,,,,
,,AUTOMÓVIL,AUTOBÚS,CAMIÓN,CAMIONETA,FURGONETA C,FURGONETA P,JEEP,MOTOCICLETA,TANQUERO,TRÁILER,VOLQUETA,OTRA CLASE,
TEKNO," 3,733 ", -   , -   , -   , -   , -   , -   , -   ," 3,733 ", -   , -   , -   , -   ,
BMW," 4,035 "," 2,587 ", -   , -   , -   , -   , 22 , 794 , 632 , -   , -   , -   , -   ,
UM," 3,068 ", -   , -   , -   , -   , -   , -   , -   ," 3,068 ", -   , -   , -   , -   ,
AXXO," 5,066 ", -   , -   , -   , -   , -   , -   , -   ," 5,066 ", -   , -   , -   , -   ,
JIALING," 3,238 ", -   , -   , -   , -   , -   , -   , -   ," 3,238 ", -   , -   , -   , -   ,
MACK," 3,373 ", -   , -   , 777 , -   , -   , -   , -   , -   , 42 , 881 ," 1,164 ", 509 ,
INTERNATIONAL," 3,262 ", -   , 260 , 702 , 144 , -   , -   , -   , -   , 94 ," 1,302 ", 466 , 294 ,
FORMOSA," 3,163 ", -   , -   , -   , -   , -   , -   , -   ," 3,163 ", -   , -   , -   , -   ,
ISUZU," 2,965 ", 110 , 180 ," 1,123 "," 1,153 ", 36 , 5 , 277 , -   , 34 , 3 , 25 , 19 ,
SANYA," 2,972 ", -   , -   , -   , -   , -   , -   , -   ," 2,972 ", -   , -   , -   , -   ,
BULTACO," 2,868 ", -   , -   , -   , -   , -   , -   , -   ," 2,868 ", -   , -   , -   , -   ,
CITROEN," 2,689 "," 2,057 ", -   , -   , -   , 595 , 32 , -   , -   , -   , -   , -   , 5 ,
LINGKEN," 2,587 ", -   , -   , -   , -   , -   , -   , -   ," 2,587 ", -   , -   , -   , -   ,
Z1," 2,548 ", -   , -   , -   , -   , -   , -   , -   ," 2,548 ", -   , -   , -   , -   ,
KEEWAY," 2,212 ", -   , -   , -   , -   , -   , -   , -   ," 2,212 ", -   , -   , -   , -   ,
KENWORTH," 2,760 ", -   , -   , 60 , -   , -   , -   , -   , -   , 32 ," 2,445 ", 58 , 165 ,
LIFAN," 2,675 ", 436 , -   , -   , 31 , 175 , 16 , 70 ," 1,947 ", -   , -   , -   , -   ,
SKYGO," 1,727 ", -   , -   , -   , -   , -   , -   , -   ," 1,727 ", -   , -   , -   , -   ,
GALARDI," 1,587 ", -   , -   , -   , -   , -   , -   , -   ," 1,587 ", -   , -   , -   , -   ,
KAWASAKI," 1,962 ", -   , -   , -   , -   , -   , -   , 1 ," 1,961 ", -   , -   , -   , -   ,
JIANSHE," 1,558 ", -   , -   , -   , -   , -   , -   , -   ," 1,558 ", -   , -   , -   , -   ,
FREIGHTLINER," 1,852 ", -   , 1 , 205 , -   , -   , -   , -   , -   , 67 ," 1,274 ", 172 , 133 ,
VOLVO," 1,508 ", 965 , 28 , 115 , 2 , -   , 62 , 33 , -   , 6 , 144 , 142 , 11 ,
LAMBORBINI," 1,601 ", -   , -   , -   , -   , -   , -   , -   ," 1,601 ", -   , -   , -   , -   ,
