,,,,,,,,,,
"CUADRO No.-36
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE CARGA
ENTRADA Y SALIDA POR EL AEROPUERTO  JOSÉ JOAQUÍN OLMEDO",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
CARGA,,,,,,,,,,
E N T R A D A,,,,S A L I D A,,,,,,
          R U T A,,,      %,RUTA,,,   %,,,
MIAMI, - , GUAYAQUIL ,52.3%, GUAYAQUIL , - ,NEW YORK,30.2%,,,
PANAMÁ, - , GUAYAQUIL ,14.0%, GUAYAQUIL , - ,MIAMI,22.2%,,,
ÁMSTERDAM, - , GUAYAQUIL ,10.4%, GUAYAQUIL , - ,LIMA,12.6%,,,
LIMA, - , GUAYAQUIL ,8.2%, GUAYAQUIL , - ,PANAMÁ,12.4%,,,
NEW YORK, - , GUAYAQUIL ,5.9%, GUAYAQUIL , - ,MADRID,9.3%,,,
MADRID, - , GUAYAQUIL ,4.5%, GUAYAQUIL , - ,ÁMSTERDAM,7.1%,,,
BOGOTÁ, - , GUAYAQUIL ,3.5%, GUAYAQUIL , - ,BOGOTÁ,3.4%,,,
SANTIAGO, - , GUAYAQUIL ,0.5%, GUAYAQUIL , - ,FORT LAUDERDALE,1.6%,,,
FORT LAUDERDALE, - , GUAYAQUIL ,0.3%, GUAYAQUIL , - ,SANTIAGO,0.9%,,,
CALI, - , GUAYAQUIL ,0.2%, GUAYAQUIL , - ,EL SALVADOR,0.2%,,,
LA PAZ, - , GUAYAQUIL ,0.1%, GUAYAQUIL , - ,CALI,0.1%,,,
EL SALVADOR, - , GUAYAQUIL ,0.0%, GUAYAQUIL , - ,LA PAZ,0.0%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,
