,,,,,,,,,,,,,,,
"CUADRO No.-28 
TRÁFICO AÉREO INTERNACIONAL NO REGULAR DE
PASAJEROS ENTRADOS Y SALIDOS POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL, LATACUNGA Y MANTA; SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,,,,,,,
,,,,,,,,,,,,ÍNDICE>>,,,
"CIUDADES DE
ORIGEN Y DESTINO",PASAJEROS,,,,,,,,,,,,,,
,E  N  T  R  A  D  O  S,,,,,S  A  L  I  D  O  S,,,,,,,,,
,TOTAL,QUITO,GUAYAQUIL,LATACUNGA,MANTA,TOTAL,QUITO,GUAYAQUIL,LATACUNGA,MANTA,,,,,
 TOTAL," 9,009 "," 5,752 "," 2,867 ", 279 , 111 ," 9,654 "," 6,101 "," 2,349 ", 276 , 928 ,,,,,
BOGOTÁ, 198 , 192 , 6 , -   , -   , -   , -   , -   , -   , -   ,,,,,
CARACAS, 111 , -   , -   , -   , 111 , 660 , 84 , -   , -   , 576 ,,,,,
CARTAGENA," 1,489 "," 1,489 ", -   , -   , -   ," 2,127 "," 1,903 ", 224 , -   , -   ,,,,,
PIURA, -   , -   , -   , -   , -   , 4 , -   , 4 , -   , -   ,,,,,
TUMBES, -   , -   , -   , -   , -   , 3 , -   , 3 , -   , -   ,,,,,
MIAMI, 30 , -   , 30 , -   , -   , 13 , -   , 13 , -   , -   ,,,,,
MONTEGO BAY / JAMAICA, 327 , 327 , -   , -   , -   , 324 , 324 , -   , -   , -   ,,,,,
GUADALAJARA, 120 , -   , 120 , -   , -   , 360 , -   , 360 , -   , -   ,,,,,
PANAMÁ," 2,586 "," 2,155 ", 306 , 125 , -   ," 2,799 "," 2,191 ", 367 , 125 , 116 ,,,,,
PUNTA CANA," 1,008 ", 395 , 613 , -   , -   , 920 , 476 , 444 , -   , -   ,,,,,
SANTIAGO, 6 , -   , 6 , -   , -   , 145 , -   , -   , -   , 145 ,,,,,
CALI, -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   ,,,,,
SAN JOSÉ, -   , -   , -   , -   , -   , 91 , -   , -   , -   , 91 ,,,,,
LIMA, 977 , -   , 892 , 85 , -   , 760 , 81 , 597 , 82 , -   ,,,,,
ISLA MARGARITA, 269 , -   , 269 , -   , -   , 140 , -   , 140 , -   , -   ,,,,,
RIO DE JANEIRO, 97 , 97 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
RIO NEGRO, 435 , 435 , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
MONTEVIDEO, 88 , 88 , -   , -   , -   , 76 , 76 , -   , -   , -   ,,,,,
SANTO DOMINGO (REPÚBLICA DOMINICANA), 518 , 518 , -   , -   , -   , 555 , 555 , -   , -   , -   ,,,,,
JUJUY, 56 , 56 , -   , -   , -   , 61 , 61 , -   , -   , -   ,,,,,
BARRANQUILLA, 173 , -   , 173 , -   , -   , 191 , 93 , 98 , -   , -   ,,,,,
LA PAZ, 148 , -   , 148 , -   , -   , 78 , 78 , -   , -   , -   ,,,,,
SAN PEDRO DE SULA , -   , -   , -   , -   , -   , 2 , 2 , -   , -   , -   ,,,,,
SAN JUAN, -   , -   , -   , -   , -   , 6 , 6 , -   , -   , -   ,,,,,
MANAOS, -   , -   , -   , -   , -   , 97 , 97 , -   , -   , -   ,,,,,
BARINAS (VENEZUELA), 102 , -   , 102 , -   , -   , 51 , -   , 51 , -   , -   ,,,,,
ARICA (CHILE), 83 , -   , 83 , -   , -   , -   , -   , -   , -   , -   ,,,,,
VIRU VIRU, 69 , -   , -   , 69 , -   , 143 , 74 , -   , 69 , -   ,,,,,
LA FRIA (VENEZUELA), -   , -   , -   , -   , -   , 39 , -   , 39 , -   , -   ,,,,,
HOUSTON, -   , -   , -   , -   , -   , 2 , -   , 2 , -   , -   ,,,,,
FORT LAUDERDALE, -   , -   , -   , -   , -   , 6 , -   , 6 , -   , -   ,,,,,
SANTO DOMINGO (TACHIRA VENEZUELA), 119 , -   , 119 , -   , -   , -   , -   , -   , -   , -   ,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
