,,,,,,,,,,,,,,
"CUADRO No.-46
TRANSPORTE MARÍTIMO INTERNACIONAL
NÚMERO DE NAVES ARRIBADAS POR MESES, SEGÚN BANDERAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,ÍNDICE>>
BANDERAS,  TOTAL,MESES,,,,,,,,,,,,
,,  ENERO, FEBRERO,  MARZO,  ABRIL,  MAYO,  JUNIO,  JULIO, AGOSTO,SEPTIEMBRE, OCTUBRE,NOVIEMBRE, DICIEMBRE,
TOTAL," 2,655 ", 254 , 207 , 230 , 212 , 224 , 205 , 234 , 226 , 217 , 219 , 212 , 215 ,
ALEMANIA, 4 , -   , 1 , -   , 1 , -   , -   , 1 , -   , 1 , -   , -   , -   ,
ANTIGUA, 146 , 14 , 15 , 15 , 14 , 14 , 14 , 12 , 9 , 13 , 8 , 8 , 10 ,
ANTILLAS HOLANDESAS, 9 , 1 , 1 , 1 , -   , 1 , 1 , -   , 1 , 1 , 1 , -   , 1 ,
BAHAMAS, 171 , 20 , 15 , 17 , 14 , 14 , 12 , 13 , 13 , 9 , 15 , 16 , 13 ,
BAHEMENA, 36 , 6 , 2 , 4 , 4 , 3 , -   , 2 , 2 , 3 , 3 , 3 , 4 ,
BARBADOS, 1 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   ,
BÉLGICA, 1 , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   ,
BÉLICE, 10 , 1 , 1 , 1 , 2 , -   , 1 , 1 , 1 , 1 , -   , -   , 1 ,
BOLIVIA, 4 , -   , -   , -   , 1 , -   , -   , 1 , 1 , 1 , -   , -   , -   ,
CHILE, 24 , 1 , -   , 1 , 3 , 3 , 2 , 3 , 1 , 4 , 3 , 1 , 2 ,
CHINA, 51 , 5 , 7 , 6 , 7 , 4 , 3 , 5 , 3 , 3 , 3 , 2 , 3 ,
CHIPRE, 69 , 9 , 7 , 6 , 6 , 7 , 5 , 8 , 7 , 2 , 4 , 4 , 4 ,
COLOMBIA, 105 , 12 , 6 , 5 , 9 , 6 , 7 , 12 , 9 , 13 , 5 , 13 , 8 ,
COREA DEL SUR, 3 , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , -   , -   ,
CROACIA, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,
DINAMARCA, 31 , 4 , 2 , 4 , 1 , 3 , 4 , 1 , 3 , 2 , 4 , 2 , 1 ,
ECUADOR, 19 , 3 , 2 , 1 , -   , 2 , 2 , 1 , 1 , 3 , 1 , 2 , 1 ,
EL SALVADOR, 3 , -   , -   , 1 , -   , -   , -   , 1 , -   , -   , 1 , -   , -   ,
ESPAÑA, 13 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , -   , 2 , 2 , 1 , -   ,
ESTADOS UNIDOS, 23 , 1 , 1 , 2 , 1 , 3 , 2 , 1 , 2 , 2 , 2 , 3 , 3 ,
FILIPINAS, 13 , 1 , 2 , -   , 1 , 3 , 1 , 1 , 1 , -   , -   , 1 , 2 ,
FRANCIA, 3 , -   , -   , -   , -   , -   , -   , -   , 1 , -   , 2 , -   , -   ,
GIBRALTAR, 15 , -   , -   , 2 , 1 , 1 , 2 , 2 , 3 , 1 , 1 , 2 , -   ,
GRAN BRETAÑA, 6 , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 1 , 1 , 1 ,
GRECIA, 30 , 2 , 1 , 1 , 2 , 2 , 3 , 2 , 4 , 6 , 4 , 1 , 2 ,
GUATEMALA, 12 , 1 , -   , 1 , -   , 3 , 2 , -   , 3 , -   , 1 , -   , 1 ,
HOLANDA, 16 , 1 , -   , 1 , 3 , 1 , 1 , 1 , 2 , 1 , 2 , 1 , 2 ,
HONDURAS, 2 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 ,
HONG KONG, 31 , 2 , 2 , 2 , 2 , 2 , 2 , 5 , 3 , 5 , 2 , 3 , 1 ,
INGLATERRA, 19 , 2 , 2 , -   , 1 , 1 , 2 , 5 , 1 , 1 , 1 , 2 , 1 ,
ISLAS BERMUDAS, 25 , 2 , 3 , 2 , 3 , 2 , 3 , 3 , 1 , 3 , -   , 2 , 1 ,
ISLAS CAIMÁN, 5 , -   , 2 , -   , -   , -   , 1 , -   , -   , 1 , -   , 1 , -   ,
ISLAS COOK, 6 , -   , 1 , -   , -   , -   , 2 , -   , 1 , -   , 1 , -   , 1 ,
ISLAS DEL HOMBRE, 4 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 ,
ISLAS MARSHALL, 320 , 24 , 22 , 27 , 18 , 27 , 28 , 34 , 28 , 28 , 32 , 28 , 24 ,
ITALIA, 14 , 2 , 3 , 1 , 1 , 1 , 1 , 2 , 2 , -   , 1 , -   , -   ,
JAPÓN, 18 , 1 , 1 , 1 , 1 , 2 , 1 , 1 , 3 , 1 , 3 , -   , 3 ,
KINGSTON, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,
LIBERIA, 631 , 65 , 52 , 63 , 58 , 49 , 52 , 45 , 46 , 51 , 43 , 47 , 60 ,
MALASIA, 1 , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , -   ,
MALTA, 86 , 4 , 5 , 8 , 4 , 6 , 9 , 10 , 8 , 8 , 4 , 16 , 4 ,
NICARAGUA, 8 , -   , 2 , -   , -   , 1 , -   , 1 , -   , 1 , 1 , -   , 2 ,
NORUEGA, 35 , 2 , 2 , 3 , 3 , 7 , 2 , 5 , -   , 1 , 5 , 4 , 1 ,
PAÍSES BAJOS, 1 , -   , -   , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
PANAMÁ, 362 , 41 , 29 , 32 , 25 , 29 , 21 , 35 , 32 , 27 , 35 , 26 , 30 ,
PERÚ, 39 , -   , 2 , 3 , 5 , 7 , 3 , 3 , 5 , 4 , 2 , 3 , 2 ,
PORTUGAL, 8 , 2 , -   , 1 , 2 , -   , 1 , 1 , -   , -   , -   , -   , 1 ,
REINO UNIDO, 4 , 1 , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , 1 ,
SAN VICENTE Y LAS GRANADINAS, 15 , -   , 1 , -   , 2 , 1 , 3 , -   , 2 , 2 , 2 , -   , 2 ,
SANTO TOMÉ, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   ,
SINGAPUR, 159 , 15 , 13 , 13 , 13 , 10 , 9 , 10 , 18 , 11 , 18 , 12 , 17 ,
SRI LANKA, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ,
SUDÁN, 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
SUIZA, 8 , 2 , -   , -   , 1 , 3 , -   , 1 , 1 , -   , -   , -   , -   ,
TAILANDIA, 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   ,
TURQUÍA, 1 , -   , -   , -   , -   , -   , 1 , -   , -   , -   , -   , -   , -   ,
VANUATU, 11 , 1 , -   , 2 , -   , -   , 1 , 1 , 1 , -   , 3 , 1 , 1 ,
VENEZUELA, 18 , 3 , 1 , 1 , 2 , 4 , -   , -   , 3 , 1 , -   , 3 , -   ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,,,,,,,,,
