,,,,,,,,,,
"CUADRO No.-35
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE CARGA
ENTRADA Y SALIDA POR EL AEROPUERTO MARISCAL SUCRE",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
CARGA,,,,,,,,,,
E N T R A D A,,,,S A L I D A,,,,,,
          R U T A,,,      %,RUTA,,,   %,,,
MIAMI, - ,QUITO,39.7%,QUITO, - ,ÁMSTERDAM,39.7%,,,
ÁMSTERDAM, - ,QUITO,15.2%,QUITO, - ,MIAMI,38.9%,,,
MADRID, - ,QUITO,13.5%,QUITO, - ,MADRID,6.1%,,,
VIRACOPOS, - ,QUITO,8.5%,QUITO, - ,BOGOTÁ,5.4%,,,
BOGOTÁ, - ,QUITO,6.4%,QUITO, - ,PANAMÁ,3.3%,,,
SANTIAGO, - ,QUITO,4.7%,QUITO, - ,LIMA,1.8%,,,
BUENOS AIRES, - ,QUITO,4.4%,QUITO, - ,ATLANTA,1.1%,,,
PANAMÁ, - ,QUITO,3.3%,QUITO, - ,EL SALVADOR,0.7%,,,
LIMA, - ,QUITO,2.7%,QUITO, - ,AGUADILLA,0.7%,,,
MÉXICO, - ,QUITO,0.4%,QUITO, - ,NEW YORK,0.5%,,,
HOUSTON, - ,QUITO,0.4%,QUITO, - ,MÉXICO,0.5%,,,
EL SALVADOR, - ,QUITO,0.2%,QUITO, - ,FRANKFURT,0.3%,,,
ATLANTA, - ,QUITO,0.2%,QUITO, - ,HOUSTON,0.3%,,,
DALLAS, - ,QUITO,0.2%,QUITO, - ,HABANA,0.2%,,,
GUATEMALA, - ,QUITO,0.0%,QUITO, - ,BUENOS AIRES,0.1%,,,
CURITIBA, - ,QUITO,0.0%,QUITO, - ,FORT LAUDERDALE,0.1%,,,
CARACAS, - ,QUITO,0.0%,QUITO, - ,DALLAS,0.0%,,,
 - , - , - , - ,QUITO, - ,CARACAS,0.0%,,,
 - , - , - , - ,QUITO, - ,VIRU VIRU,0.0%,,,
 - , - , - , - ,QUITO, - ,SAO PAULO,0.0%,,,
,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,
