,,,,,,,,,,
"CUADRO No.-33
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE PASAJEROS
ENTRADOS Y SALIDOS POR EL AEROPUERTO MARISCAL SUCRE",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
PASAJEROS,,,,,,,,,,
E N T R A D O S,,,,S A L I D O S,,,,,,
       R  U  T  A,,,%,        R  U  T  A,,,%,,,
BOGOTÁ, - , QUITO ,19.9%, QUITO , - ,BOGOTÁ,18.8%,,,
PANAMÁ, - , QUITO ,16.6%, QUITO , - ,PANAMÁ,16.9%,,,
MIAMI, - , QUITO ,13.9%, QUITO , - ,MIAMI,14.2%,,,
LIMA, - , QUITO ,11.1%, QUITO , - ,LIMA,10.9%,,,
MADRID, - , QUITO ,7.0%, QUITO , - ,MADRID,6.5%,,,
ÁMSTERDAM, - , QUITO ,6.1%, QUITO , - ,ATLANTA,5.3%,,,
ATLANTA, - , QUITO ,5.1%, QUITO , - ,ÁMSTERDAM,4.8%,,,
HOUSTON, - , QUITO ,4.6%, QUITO , - ,HOUSTON,4.5%,,,
FORT LAUDERDALE, - , QUITO ,4.0%, QUITO , - ,FORT LAUDERDALE,4.2%,,,
MÉXICO, - , QUITO ,3.1%, QUITO , - ,MÉXICO,3.4%,,,
EL SALVADOR, - , QUITO ,2.5%, QUITO , - ,EL SALVADOR,2.5%,,,
DALLAS, - , QUITO ,2.1%, QUITO , - ,DALLAS,2.3%,,,
BUENOS AIRES, - , QUITO ,1.2%, QUITO , - ,BUENOS AIRES,1.6%,,,
NEW YORK, - , QUITO ,1.1%, QUITO , - ,NEW YORK,1.3%,,,
CARACAS, - , QUITO ,0.8%, QUITO , - ,SANTIAGO,1.2%,,,
HABANA, - , QUITO ,0.7%, QUITO , - ,HABANA,0.7%,,,
ARUBA, - , QUITO ,0.2%, QUITO , - ,CARACAS,0.5%,,,
SAO PAULO, - , QUITO ,0.0%, QUITO , - ,ARUBA,0.2%,,,
SANTIAGO, - , QUITO ,0.0%, QUITO , - ,VIRU VIRU,0.2%,,,
CALI, - , QUITO ,0.0%, QUITO , - ,SAO PAULO,0.0%,,,
 - , - , - , - , - , - ,CALI,0.0%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,
