,,,,,,,,,,,,,,,
"CUADRO No.-27
TRÁFICO AÉREO INTERNACIONAL REGULAR DE
PASAJEROS ENTRADOS Y SALIDOS POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL, MANTA Y ESMERALDAS; SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,,,,,,,
,,,,,,,,,,,,ÍNDICE>>,,,
"CIUDADES DE
ORIGEN Y DESTINO",PASAJEROS,,,,,,,,,,,,,,
,E  N  T  R  A  D  O  S,,,,,S  A  L  I  D  O  S,,,,,,,,,
,TOTAL,QUITO,GUAYAQUIL,MANTA,ESMERALDAS,TOTAL,QUITO,GUAYAQUIL,MANTA,ESMERALDAS,,,,,
TOTAL," 1,967,423 "," 1,089,356 "," 863,213 "," 2,993 "," 11,861 "," 2,000,011 "," 1,079,394 "," 905,141 "," 3,315 "," 12,161 ",,,,,
PANAMÁ," 374,817 "," 181,235 "," 193,582 ", -   , -   ," 381,294 "," 181,879 "," 199,415 ", -   , -   ,,,,,
BOGOTÁ," 316,942 "," 216,952 "," 99,990 ", -   , -   ," 302,972 "," 202,967 "," 100,005 ", -   , -   ,,,,,
MIAMI," 270,610 "," 151,472 "," 119,138 ", -   , -   ," 276,597 "," 153,173 "," 123,424 ", -   , -   ,,,,,
LIMA," 210,912 "," 120,882 "," 90,030 ", -   , -   ," 209,814 "," 117,153 "," 92,661 ", -   , -   ,,,,,
MADRID," 125,936 "," 75,916 "," 50,020 ", -   , -   ," 138,498 "," 70,426 "," 68,072 ", -   , -   ,,,,,
NEW YORK," 144,109 "," 11,553 "," 132,556 ", -   , -   ," 149,432 "," 14,405 "," 135,027 ", -   , -   ,,,,,
ÁMSTERDAM," 110,104 "," 66,757 "," 43,347 ", -   , -   ," 107,854 "," 51,600 "," 56,254 ", -   , -   ,,,,,
EL SALVADOR," 50,209 "," 27,075 "," 23,134 ", -   , -   ," 52,943 "," 26,530 "," 26,413 ", -   , -   ,,,,,
ATLANTA," 55,191 "," 55,191 ", -   , -   , -   ," 57,054 "," 57,054 ", -   , -   , -   ,,,,,
HOUSTON," 49,790 "," 49,790 ", -   , -   , -   ," 48,483 "," 48,483 ", -   , -   , -   ,,,,,
FORT LAUDERDALE," 64,038 "," 43,401 "," 20,637 ", -   , -   ," 65,675 "," 45,138 "," 20,537 ", -   , -   ,,,,,
BUENOS AIRES," 13,515 "," 13,515 ", -   , -   , -   ," 17,279 "," 17,279 ", -   , -   , -   ,,,,,
MÉXICO," 34,067 "," 34,067 ", -   , -   , -   ," 37,123 "," 37,123 ", -   , -   , -   ,,,,,
