,,,,,,,,,,,,,,,
"CUADRO No.-27
SANTIAGO," 45,973 ", 125 ," 45,848 ", -   , -   ," 63,841 "," 12,705 "," 51,136 ", -   , -   ,,,,,
CALI," 28,512 ", 20 ," 16,631 ", -   ," 11,861 "," 28,234 ", 88 ," 15,985 ", -   ," 12,161 ",,,,,
HABANA," 7,223 "," 7,223 ", -   , -   , -   ," 8,049 "," 8,049 ", -   , -   , -   ,,,,,
SAO PAULO, 380 , 380 , -   , -   , -   , 472 , 472 , -   , -   , -   ,,,,,
BARCELONA (VENEZUELA)," 29,397 ", -   ," 26,404 "," 2,993 ", -   ," 17,728 ", -   ," 14,413 "," 3,315 ", -   ,,,,,
CARACAS," 8,455 "," 8,455 ", -   , -   , -   ," 5,890 "," 5,555 ", 335 , -   , -   ,,,,,
DALLAS," 23,178 "," 23,178 ", -   , -   , -   ," 25,217 "," 25,217 ", -   , -   , -   ,,,,,
ARUBA," 2,169 "," 2,169 ", -   , -   , -   ," 2,734 "," 2,408 ", 326 , -   , -   ,,,,,
VIRU VIRU, -   , -   , -   , -   , -   ," 1,690 "," 1,690 ", -   , -   , -   ,,,,,
LA PAZ," 1,896 ", -   ," 1,896 ", -   , -   ," 1,138 ", -   ," 1,138 ", -   , -   ,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
