,,,,,,
"CUADRO No.-53
TRANSPORTE MARÍTIMO INTERNACIONAL - AUTORIDAD PORTUARIA DE PUERTO BOLÍVAR (APPB)
NÚMERO DE NAVES ARRIBADAS, TONELAJE DE REGISTRO NETO, TONELAJE DE REGISTRO BRUTO, CARGA ENTRADA Y SALIDA (™), SEGÚN BANDERAS",,,,,,
,,,,,,ÍNDICE>>
BANDERA,NÚMERO DE NAVES ARRIBADAS,TONELAJE DE REGISTRO NETO ,TONELAJE DE REGISTRO BRUTO ,"CARGA
ENTRADA (™)","CARGA
SALIDA (™)",
TOTAL, 329 ," 1,870,308 "," 3,812,125 "," 92,423 "," 1,629,338 ",
ANTILLAS HOLANDESAS, 9 ," 68,220 "," 130,545 ", 2 ," 50,670 ",
BAHAMAS, 106 ," 611,195 "," 1,310,299 "," 16,403 "," 558,661 ",
BARBADOS, 1 ," 5,406 "," 10,519 ", -   ," 5,417 ",
HOLANDA, 1 ," 4,542 "," 8,414 ", -   ," 4,736 ",
ISLAS CAIMAN, 2 ," 14,906 "," 24,802 ", -   ," 7,536 ",
ISLAS COOK, 6 ," 30,897 "," 59,814 ", -   ," 32,524 ",
ISLAS MARSHALL, 5 ," 26,181 "," 53,984 ", -   ," 25,657 ",
LIBERIA, 110 ," 546,969 "," 1,069,218 "," 54,593 "," 560,235 ",
MALTA, 2 ," 15,072 "," 28,826 ", -   ," 11,425 ",
PAISES BAJOS, 1 ," 2,978 "," 5,471 ", -   ," 3,750 ",
PANAMA, 18 ," 128,388 "," 244,893 "," 10,349 "," 76,997 ",
PERU, 3 , 399 , 606 , -   , -   ,
SAN VICENTE Y LAS GRANADINAS, 12 ," 59,436 "," 124,152 ", -   ," 55,117 ",
SINGAPUR, 52 ," 349,818 "," 729,144 "," 11,024 "," 229,362 ",
VANUATU, 1 ," 5,901 "," 11,438 ", 52 ," 7,251 ",
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,
Fuente: Entidades Portuarias - 2016,,,,,,
,,,,,,
